date,regime_quadrant
2019-06-14,Overheat
2019-06-21,Overheat
2019-06-28,Overheat
2019-07-05,Recession
2019-07-12,Recession
2019-07-19,Recession
2019-07-26,Recession
2019-08-02,Recession
2019-08-09,Recession
2019-08-16,Recession
2019-08-23,Recession
2019-08-30,Recession
2019-09-06,Recession
2019-09-13,Recession
2019-09-20,Recession
2019-09-27,Recession
2019-10-04,Overheat
2019-10-11,Overheat
2019-10-18,Overheat
2019-10-25,Overheat
2019-11-01,Overheat
2019-11-08,Overheat
2019-11-15,Overheat
2019-11-22,Overheat
2019-11-29,Overheat
2019-12-06,Overheat
2019-12-13,Overheat
2019-12-20,Overheat
2019-12-27,Overheat
2020-01-03,Overheat
2020-01-10,Overheat
2020-01-17,Overheat
2020-01-24,Overheat
2020-01-31,Overheat
2020-02-07,Overheat
2020-02-14,Overheat
2020-02-21,Overheat
2020-02-28,Overheat
2020-03-06,Overheat
2020-03-13,Recession
2020-03-20,Recession
2020-03-27,Recession
2020-04-03,Recession
2020-04-10,Recession
2020-04-17,Recession
2020-04-24,Recession
2020-05-01,Recession
2020-05-08,Recession
2020-05-15,Recession
2020-05-22,Recession
2020-05-29,Recession
2020-06-05,Recession
2020-06-12,Recession
2020-06-19,Recession
2020-06-26,Recession
2020-07-03,Recession
2020-07-10,Recession
2020-07-17,Recession
2020-07-24,Recession
2020-07-31,Overheat
2020-08-07,Overheat
2020-08-14,Overheat
2020-08-21,Overheat
2020-08-28,Overheat
2020-09-04,Overheat
2020-09-11,Overheat
2020-09-18,Overheat
2020-09-25,Overheat
2020-10-02,Overheat
2020-10-09,Overheat
2020-10-16,Overheat
2020-10-23,Overheat
2020-10-30,Overheat
2020-11-06,Overheat
2020-11-13,Overheat
2020-11-20,Overheat
2020-11-27,Overheat
2020-12-04,Overheat
2020-12-11,Overheat
2020-12-18,Overheat
2020-12-25,Overheat
2021-01-01,Overheat
2021-01-08,Overheat
2021-01-15,Overheat
2021-01-22,Overheat
2021-01-29,Overheat
2021-02-05,Overheat
2021-02-12,Overheat
2021-02-19,Overheat
2021-02-26,Overheat
2021-03-05,Overheat
2021-03-12,Overheat
2021-03-19,Overheat
2021-03-26,Overheat
2021-04-02,Overheat
2021-04-09,Overheat
2021-04-16,Overheat
2021-04-23,Overheat
2021-04-30,Overheat
2021-05-07,Overheat
2021-05-14,Overheat
2021-05-21,Overheat
2021-05-28,Overheat
2021-06-04,Overheat
2021-06-11,Overheat
2021-06-18,Overheat
2021-06-25,Overheat
2021-07-02,Overheat
2021-07-09,Overheat
2021-07-16,Overheat
2021-07-23,Overheat
2021-07-30,Recession
2021-08-06,Recession
2021-08-13,Overheat
2021-08-20,Overheat
2021-08-27,Overheat
2021-09-03,Recession
2021-09-10,Recession
2021-09-17,Recession
2021-09-24,Recession
2021-10-01,Recession
2021-10-08,Overheat
2021-10-15,Overheat
2021-10-22,Overheat
2021-10-29,Recession
2021-11-05,Recession
2021-11-12,Overheat
2021-11-19,Overheat
2021-11-26,Overheat
2021-12-03,Overheat
2021-12-10,Overheat
2021-12-17,Overheat
2021-12-24,Overheat
2021-12-31,Recession
2022-01-07,Recession
2022-01-14,Recession
2022-01-21,Recession
2022-01-28,Recession
2022-02-04,Recession
2022-02-11,Recession
2022-02-18,Recession
2022-02-25,Recession
2022-03-04,Recession
2022-03-11,Recession
2022-03-18,Recession
2022-03-25,Recession
2022-04-01,Recession
2022-04-08,Overheat
2022-04-15,Overheat
2022-04-22,Overheat
2022-04-29,Overheat
2022-05-06,Overheat
2022-05-13,Overheat
2022-05-20,Overheat
2022-05-27,Overheat
2022-06-03,Overheat
2022-06-10,Overheat
2022-06-17,Overheat
2022-06-24,Overheat
2022-07-01,Overheat
2022-07-08,Overheat
2022-07-15,Overheat
2022-07-22,Overheat
2022-07-29,Overheat
2022-08-05,Overheat
2022-08-12,Recession
2022-08-19,Recession
2022-08-26,Recession
2022-09-02,Recession
2022-09-09,Recession
2022-09-16,Recession
2022-09-23,Recession
2022-09-30,Recession
2022-10-07,Recession
2022-10-14,Recession
2022-10-21,Recession
2022-10-28,Recession
2022-11-04,Recession
2022-11-11,Recession
2022-11-18,Recession
2022-11-25,Recession
2022-12-02,Recession
2022-12-09,Recession
2022-12-16,Recession
2022-12-23,Recession
2022-12-30,Recession
2023-01-06,Recession
2023-01-13,Recession
2023-01-20,Recession
2023-01-27,Recession
2023-02-03,Recession
2023-02-10,Recession
2023-02-17,Recession
2023-02-24,Recession
2023-03-03,Recession
2023-03-10,Recession
2023-03-17,Recession
2023-03-24,Recession
2023-03-31,Recession
2023-04-07,Recession
2023-04-14,Recession
2023-04-21,Recession
2023-04-28,Recession
2023-05-05,Recession
2023-05-12,Recession
2023-05-19,Recession
2023-05-26,Recession
2023-06-02,Recession
2023-06-09,Recession
2023-06-16,Recession
2023-06-23,Recession
2023-06-30,Recession
2023-07-07,Recession
2023-07-14,Recession
2023-07-21,Recession
2023-07-28,Recession
2023-08-04,Recession
2023-08-11,Recession
2023-08-18,Recession
2023-08-25,Recession
2023-09-01,Overheat
2023-09-08,Overheat
2023-09-15,Overheat
2023-09-22,Overheat
2023-09-29,Overheat
2023-10-06,Overheat
2023-10-13,Overheat
2023-10-20,Overheat
2023-10-27,Overheat
2023-11-03,Overheat
2023-11-10,Overheat
2023-11-17,Overheat
2023-11-24,Overheat
2023-12-01,Overheat
2023-12-08,Overheat
2023-12-15,Overheat
2023-12-22,Overheat
2023-12-29,Overheat
2024-01-05,Recession
2024-01-12,Recession
2024-01-19,Recession
2024-01-26,Recession
2024-02-02,Overheat
2024-02-09,Overheat
2024-02-16,Overheat
2024-02-23,Overheat
2024-03-01,Overheat
2024-03-08,Overheat
2024-03-15,Overheat
2024-03-22,Overheat
2024-03-29,Overheat
2024-04-05,Overheat
2024-04-12,Overheat
2024-04-19,Overheat
2024-04-26,Overheat
2024-05-03,Overheat
2024-05-10,Overheat
2024-05-17,Overheat
2024-05-24,Overheat
2024-05-31,Overheat
2024-06-07,Recession
2024-06-14,Recession
2024-06-21,Recession
2024-06-28,Recession
2024-07-05,Recession
2024-07-12,Recession
2024-07-19,Recession
2024-07-26,Recession
2024-08-02,Recession
2024-08-09,Recession
2024-08-16,Recession
2024-08-23,Recession
2024-08-30,Recession
2024-09-06,Recession
2024-09-13,Recession
2024-09-20,Recession
2024-09-27,Recession
2024-10-04,Recession
2024-10-11,Recession
2024-10-18,Recession
2024-10-25,Recession
2024-11-01,Recession
2024-11-08,Overheat
2024-11-15,Overheat
2024-11-22,Overheat
2024-11-29,Overheat
2024-12-06,Overheat
2024-12-13,Overheat
2024-12-20,Overheat
2024-12-27,Overheat
2025-01-03,Overheat
2025-01-10,Overheat
2025-01-17,Overheat
2025-01-24,Overheat
2025-01-31,Overheat
2025-02-07,Overheat
2025-02-14,Overheat
2025-02-21,Overheat
2025-02-28,Overheat
2025-03-07,Overheat
2025-03-14,Overheat
2025-03-21,Overheat
2025-03-28,Overheat
2025-04-04,Overheat
2025-04-11,Recession
2025-04-18,Recession
2025-04-25,Recession
2025-05-02,Recession
2025-05-09,Recession
2025-05-16,Recession
2025-05-23,Recession
2025-05-30,Recession
2025-06-06,Recession
2025-06-13,Recession
2025-06-20,Recession
2025-06-27,Recession
2025-07-04,Recession
2025-07-11,Recession
2025-07-18,Recession
2025-07-25,Recession
2025-08-01,Overheat
2025-08-08,Overheat
2025-08-15,Overheat
2025-08-22,Overheat
2025-08-29,Overheat
2025-09-05,Overheat
2025-09-12,Overheat
2025-09-19,Overheat
2025-09-26,Overheat
2025-10-03,Overheat
2025-10-10,Overheat
2025-10-17,Overheat
2025-10-24,Overheat
2025-10-31,Overheat
2025-11-07,Overheat
2025-11-14,Overheat
2025-11-21,Overheat
2025-11-28,Overheat
2025-12-05,Overheat
2025-12-12,Overheat
2025-12-19,Overheat
2025-12-26,Overheat
2026-01-02,Overheat
2026-01-09,Overheat
2026-01-16,Overheat
2026-01-23,Overheat
2026-01-30,Overheat
2026-02-06,Overheat
2026-02-13,Overheat
2026-02-20,Overheat
2026-02-27,Overheat
2026-03-06,Overheat
2026-03-13,Overheat
2026-03-20,Overheat
2026-03-27,Overheat
2026-04-03,Overheat
2026-04-10,Overheat
2026-04-17,Overheat
2026-04-24,Overheat
2026-05-01,Overheat
2026-05-08,Overheat
2026-05-15,Overheat
2026-05-22,Overheat
